VARIABLE,VARIABLE_NAME,MEASURE,UNIT,FREQUENCY,MEASUREMENT_TYPE,MEASUREMENT_PERIOD,BUILDING_USE,SEASONALLY_ADJUSTED
PUBLIC_NONRES_EDUCATIONAL_COEFF_M,"Public Nonresidential Construction: Educational: Coefficienct of Variation, Monthly Estimate",Public Nonresidential Construction,Percent,Monthly,,,Educational,
PUBLIC_NONRES_EDUCATIONAL_COEFF_YTD,"Public Nonresidential Construction: Educational: Coefficient of Variation, Year-to-date estimate",Public Nonresidential Construction,Percent,Monthly,,,Educational,
PUBLIC_NONRES_EDUCATIONAL_NSA,Public Nonresidential Construction: Educational (Not Seasonally Adjusted),Public Nonresidential Construction,USD,Monthly,,,Educational,false
PUBLIC_NONRES_EDUCATIONAL_SA,Public Nonresidential Construction: Educational (Seasonally Adjusted),Public Nonresidential Construction,USD,Monthly,,,Educational,true
PUBLIC_NONRES_EDUCATIONAL_STD_ERR_MM,"Public Nonresidential Construction: Educational: Standard Error, Month-to-month change",Public Nonresidential Construction,Percent,Monthly,,,Educational,
PUBLIC_NONRES_EDUCATIONAL_STD_ERR_MM_PY,"Public Nonresidential Construction: Educational: Standard Error, Month-to-month change from previous year",Public Nonresidential Construction,Percent,Monthly,,,Educational,
PUBLIC_NONRES_EDUCATIONAL_STD_ERR_YTD,"Public Nonresidential Construction: Educational: Standard Error, Year-to-date change",Public Nonresidential Construction,Percent,Monthly,,,Educational,
PUBLIC_NONRES_HEALTH_A,Public Nonresidential Construction: Health care (Annual),Public Nonresidential Construction,USD,Annual,,,Health care,
PUBLIC_NONRES_HEALTH_COEFF_M,"Public Nonresidential Construction: Health care: Coefficienct of Variation, Monthly Estimate",Public Nonresidential Construction,Percent,Monthly,,,Health care,
PUBLIC_NONRES_HEALTH_COEFF_YTD,"Public Nonresidential Construction: Health care: Coefficient of Variation, Year-to-date estimate",Public Nonresidential Construction,Percent,Monthly,,,Health care,
PUBLIC_NONRES_HEALTH_NSA,Public Nonresidential Construction: Health care (Not Seasonally Adjusted),Public Nonresidential Construction,USD,Monthly,,,Health care,false
PUBLIC_NONRES_HEALTH_SA,Public Nonresidential Construction: Health care (Seasonally Adjusted),Public Nonresidential Construction,USD,Monthly,,,Health care,true
PUBLIC_NONRES_HEALTH_STD_ERR_MM,"Public Nonresidential Construction: Health care: Standard Error, Month-to-month change",Public Nonresidential Construction,Percent,Monthly,,,Health care,
PUBLIC_NONRES_HEALTH_STD_ERR_MM_PY,"Public Nonresidential Construction: Health care: Standard Error, Month-to-month change from previous year",Public Nonresidential Construction,Percent,Monthly,,,Health care,
PUBLIC_NONRES_HEALTH_STD_ERR_YTD,"Public Nonresidential Construction: Health care: Standard Error, Year-to-date change",Public Nonresidential Construction,Percent,Monthly,,,Health care,
PUBLIC_NONRES_HIGHWAY_A,Public Nonresidential Construction: Highway and street (Annual),Public Nonresidential Construction,USD,Annual,,,Highway and street,
PUBLIC_NONRES_HIGHWAY_COEFF_M,"Public Nonresidential Construction: Highway and street: Coefficienct of Variation, Monthly Estimate",Public Nonresidential Construction,Percent,Monthly,,,Highway and street,
PUBLIC_NONRES_HIGHWAY_COEFF_YTD,"Public Nonresidential Construction: Highway and street: Coefficient of Variation, Year-to-date estimate",Public Nonresidential Construction,Percent,Monthly,,,Highway and street,
PUBLIC_NONRES_HIGHWAY_NSA,Public Nonresidential Construction: Highway and street (Not Seasonally Adjusted),Public Nonresidential Construction,USD,Monthly,,,Highway and street,false
PUBLIC_NONRES_HIGHWAY_SA,Public Nonresidential Construction: Highway and street (Seasonally Adjusted),Public Nonresidential Construction,USD,Monthly,,,Highway and street,true
PUBLIC_NONRES_HIGHWAY_STD_ERR_MM,"Public Nonresidential Construction: Highway and street: Standard Error, Month-to-month change",Public Nonresidential Construction,Percent,Monthly,,,Highway and street,
PUBLIC_NONRES_HIGHWAY_STD_ERR_MM_PY,"Public Nonresidential Construction: Highway and street: Standard Error, Month-to-month change from previous year",Public Nonresidential Construction,Percent,Monthly,,,Highway and street,
PUBLIC_NONRES_HIGHWAY_STD_ERR_YTD,"Public Nonresidential Construction: Highway and street: Standard Error, Year-to-date change",Public Nonresidential Construction,Percent,Monthly,,,Highway and street,
PUBLIC_NONRES_NSA,Public Nonresidential Construction (Not Seasonally Adjusted),Public Nonresidential Construction,USD,Monthly,,,,false
PUBLIC_NONRES_OFFICE_A,Public Nonresidential Construction: Office (Annual),Public Nonresidential Construction,USD,Annual,,,Office,
PUBLIC_NONRES_OFFICE_COEFF_M,"Public Nonresidential Construction: Office: Coefficienct of Variation, Monthly Estimate",Public Nonresidential Construction,Percent,Monthly,,,Office,
PUBLIC_NONRES_OFFICE_COEFF_YTD,"Public Nonresidential Construction: Office: Coefficient of Variation, Year-to-date estimate",Public Nonresidential Construction,Percent,Monthly,,,Office,
PUBLIC_NONRES_OFFICE_NSA,Public Nonresidential Construction: Office (Not Seasonally Adjusted),Public Nonresidential Construction,USD,Monthly,,,Office,false
PUBLIC_NONRES_OFFICE_SA,Public Nonresidential Construction: Office (Seasonally Adjusted),Public Nonresidential Construction,USD,Monthly,,,Office,true
PUBLIC_NONRES_OFFICE_STD_ERR_MM,"Public Nonresidential Construction: Office: Standard Error, Month-to-month change",Public Nonresidential Construction,Percent,Monthly,,,Office,
PUBLIC_NONRES_OFFICE_STD_ERR_MM_PY,"Public Nonresidential Construction: Office: Standard Error, Month-to-month change from previous year",Public Nonresidential Construction,Percent,Monthly,,,Office,
PUBLIC_NONRES_OFFICE_STD_ERR_YTD,"Public Nonresidential Construction: Office: Standard Error, Year-to-date change",Public Nonresidential Construction,Percent,Monthly,,,Office,
PUBLIC_NONRES_POWER_A,Public Nonresidential Construction: Power (Annual),Public Nonresidential Construction,USD,Annual,,,Power,
PUBLIC_NONRES_POWER_COEFF_M,"Public Nonresidential Construction: Power: Coefficienct of Variation, Monthly Estimate",Public Nonresidential Construction,Percent,Monthly,,,Power,
PUBLIC_NONRES_POWER_COEFF_YTD,"Public Nonresidential Construction: Power: Coefficient of Variation, Year-to-date estimate",Public Nonresidential Construction,Percent,Monthly,,,Power,
PUBLIC_NONRES_POWER_NSA,Public Nonresidential Construction: Power (Not Seasonally Adjusted),Public Nonresidential Construction,USD,Monthly,,,Power,false
PUBLIC_NONRES_POWER_SA,Public Nonresidential Construction: Power (Seasonally Adjusted),Public Nonresidential Construction,USD,Monthly,,,Power,true
PUBLIC_NONRES_POWER_STD_ERR_MM,"Public Nonresidential Construction: Power: Standard Error, Month-to-month change",Public Nonresidential Construction,Percent,Monthly,,,Power,
PUBLIC_NONRES_POWER_STD_ERR_MM_PY,"Public Nonresidential Construction: Power: Standard Error, Month-to-month change from previous year",Public Nonresidential Construction,Percent,Monthly,,,Power,
PUBLIC_NONRES_POWER_STD_ERR_YTD,"Public Nonresidential Construction: Power: Standard Error, Year-to-date change",Public Nonresidential Construction,Percent,Monthly,,,Power,
PUBLIC_NONRES_PUBLIC_A,Public Nonresidential Construction: Public safety (Annual),Public Nonresidential Construction,USD,Annual,,,Public safety,
PUBLIC_NONRES_PUBLIC_COEFF_M,"Public Nonresidential Construction: Public safety: Coefficienct of Variation, Monthly Estimate",Public Nonresidential Construction,Percent,Monthly,,,Public safety,
PUBLIC_NONRES_PUBLIC_COEFF_YTD,"Public Nonresidential Construction: Public safety: Coefficient of Variation, Year-to-date estimate",Public Nonresidential Construction,Percent,Monthly,,,Public safety,
PUBLIC_NONRES_PUBLIC_NSA,Public Nonresidential Construction: Public safety (Not Seasonally Adjusted),Public Nonresidential Construction,USD,Monthly,,,Public safety,false
PUBLIC_NONRES_PUBLIC_SA,Public Nonresidential Construction: Public safety (Seasonally Adjusted),Public Nonresidential Construction,USD,Monthly,,,Public safety,true
PUBLIC_NONRES_PUBLIC_STD_ERR_MM,"Public Nonresidential Construction: Public safety: Standard Error, Month-to-month change",Public Nonresidential Construction,Percent,Monthly,,,Public safety,
PUBLIC_NONRES_PUBLIC_STD_ERR_MM_PY,"Public Nonresidential Construction: Public safety: Standard Error, Month-to-month change from previous year",Public Nonresidential Construction,Percent,Monthly,,,Public safety,
PUBLIC_NONRES_PUBLIC_STD_ERR_YTD,"Public Nonresidential Construction: Public safety: Standard Error, Year-to-date change",Public Nonresidential Construction,Percent,Monthly,,,Public safety,
PUBLIC_NONRES_SA,Public Nonresidential Construction (Seasonally Adjusted),Public Nonresidential Construction,USD,Monthly,,,,true
PUBLIC_NONRES_SEWAGE_A,Public Nonresidential Construction: Sewage and waste disposal (Annual),Public Nonresidential Construction,USD,Annual,,,Sewage and waste disposal,
PUBLIC_NONRES_SEWAGE_COEFF_M,"Public Nonresidential Construction: Sewage and waste disposal: Coefficienct of Variation, Monthly Estimate",Public Nonresidential Construction,Percent,Monthly,,,Sewage and waste disposal,
PUBLIC_NONRES_SEWAGE_COEFF_YTD,"Public Nonresidential Construction: Sewage and waste disposal: Coefficient of Variation, Year-to-date estimate",Public Nonresidential Construction,Percent,Monthly,,,Sewage and waste disposal,
PUBLIC_NONRES_SEWAGE_NSA,Public Nonresidential Construction: Sewage and waste disposal (Not Seasonally Adjusted),Public Nonresidential Construction,USD,Monthly,,,Sewage and waste disposal,false
PUBLIC_NONRES_SEWAGE_SA,Public Nonresidential Construction: Sewage and waste disposal (Seasonally Adjusted),Public Nonresidential Construction,USD,Monthly,,,Sewage and waste disposal,true
PUBLIC_NONRES_SEWAGE_STD_ERR_MM,"Public Nonresidential Construction: Sewage and waste disposal: Standard Error, Month-to-month change",Public Nonresidential Construction,Percent,Monthly,,,Sewage and waste disposal,
PUBLIC_NONRES_SEWAGE_STD_ERR_MM_PY,"Public Nonresidential Construction: Sewage and waste disposal: Standard Error, Month-to-month change from previous year",Public Nonresidential Construction,Percent,Monthly,,,Sewage and waste disposal,
PUBLIC_NONRES_SEWAGE_STD_ERR_YTD,"Public Nonresidential Construction: Sewage and waste disposal: Standard Error, Year-to-date change",Public Nonresidential Construction,Percent,Monthly,,,Sewage and waste disposal,
PUBLIC_NONRES_STD_ERR_MM,"Public Nonresidential Construction: Standard Error, Month-to-month change",Public Nonresidential Construction,Percent,Monthly,,,,
PUBLIC_NONRES_STD_ERR_MM_PY,"Public Nonresidential Construction: Standard Error, Month-to-month change from previous year",Public Nonresidential Construction,Percent,Monthly,,,,
PUBLIC_NONRES_STD_ERR_YTD,"Public Nonresidential Construction: Standard Error, Year-to-date change",Public Nonresidential Construction,Percent,Monthly,,,,
PUBLIC_NONRES_TRANSPORTATION_A,Public Nonresidential Construction: Transportation (Annual),Public Nonresidential Construction,USD,Annual,,,Transportation,
PUBLIC_NONRES_TRANSPORTATION_COEFF_M,"Public Nonresidential Construction: Transportation: Coefficienct of Variation, Monthly Estimate",Public Nonresidential Construction,Percent,Monthly,,,Transportation,
PUBLIC_NONRES_TRANSPORTATION_COEFF_YTD,"Public Nonresidential Construction: Transportation: Coefficient of Variation, Year-to-date estimate",Public Nonresidential Construction,Percent,Monthly,,,Transportation,
PUBLIC_NONRES_TRANSPORTATION_NSA,Public Nonresidential Construction: Transportation (Not Seasonally Adjusted),Public Nonresidential Construction,USD,Monthly,,,Transportation,false
PUBLIC_NONRES_TRANSPORTATION_SA,Public Nonresidential Construction: Transportation (Seasonally Adjusted),Public Nonresidential Construction,USD,Monthly,,,Transportation,true
PUBLIC_NONRES_TRANSPORTATION_STD_ERR_MM,"Public Nonresidential Construction: Transportation: Standard Error, Month-to-month change",Public Nonresidential Construction,Percent,Monthly,,,Transportation,
PUBLIC_NONRES_TRANSPORTATION_STD_ERR_MM_PY,"Public Nonresidential Construction: Transportation: Standard Error, Month-to-month change from previous year",Public Nonresidential Construction,Percent,Monthly,,,Transportation,
PUBLIC_NONRES_TRANSPORTATION_STD_ERR_YTD,"Public Nonresidential Construction: Transportation: Standard Error, Year-to-date change",Public Nonresidential Construction,Percent,Monthly,,,Transportation,
PUBLIC_NONRES_WATER_A,Public Nonresidential Construction: Water supply (Annual),Public Nonresidential Construction,USD,Annual,,,Water supply,
PUBLIC_NONRES_WATER_COEFF_M,"Public Nonresidential Construction: Water supply: Coefficienct of Variation, Monthly Estimate",Public Nonresidential Construction,Percent,Monthly,,,Water supply,
PUBLIC_NONRES_WATER_COEFF_YTD,"Public Nonresidential Construction: Water supply: Coefficient of Variation, Year-to-date estimate",Public Nonresidential Construction,Percent,Monthly,,,Water supply,
PUBLIC_NONRES_WATER_NSA,Public Nonresidential Construction: Water supply (Not Seasonally Adjusted),Public Nonresidential Construction,USD,Monthly,,,Water supply,false
PUBLIC_NONRES_WATER_SA,Public Nonresidential Construction: Water supply (Seasonally Adjusted),Public Nonresidential Construction,USD,Monthly,,,Water supply,true
PUBLIC_NONRES_WATER_STD_ERR_MM,"Public Nonresidential Construction: Water supply: Standard Error, Month-to-month change",Public Nonresidential Construction,Percent,Monthly,,,Water supply,
PUBLIC_NONRES_WATER_STD_ERR_MM_PY,"Public Nonresidential Construction: Water supply: Standard Error, Month-to-month change from previous year",Public Nonresidential Construction,Percent,Monthly,,,Water supply,
PUBLIC_NONRES_WATER_STD_ERR_YTD,"Public Nonresidential Construction: Water supply: Standard Error, Year-to-date change",Public Nonresidential Construction,Percent,Monthly,,,Water supply,
PUBLIC_RES_A,Public Residential Construction (Annual),Public Residential Construction,USD,Annual,,,,
PUBLIC_RES_COEFF_M,"Public Residential Construction: Coefficienct of Variation, Monthly Estimate",Public Residential Construction,Percent,Monthly,,,,
PUBLIC_RES_COEFF_YTD,"Public Residential Construction: Coefficient of Variation, Year-to-date estimate",Public Residential Construction,Percent,Monthly,,,,
PUBLIC_RES_NSA,Public Residential Construction (Not Seasonally Adjusted),Public Residential Construction,USD,Monthly,,,,false
PUBLIC_RES_SA,Public Residential Construction (Seasonally Adjusted),Public Residential Construction,USD,Monthly,,,,true
PUBLIC_RES_STD_ERR_MM,"Public Residential Construction: Standard Error, Month-to-month change",Public Residential Construction,Percent,Monthly,,,,
PUBLIC_RES_STD_ERR_MM_PY,"Public Residential Construction: Standard Error, Month-to-month change from previous year",Public Residential Construction,Percent,Monthly,,,,
PUBLIC_RES_STD_ERR_YTD,"Public Residential Construction: Standard Error, Year-to-date change",Public Residential Construction,Percent,Monthly,,,,
PUBLIC_TOTAL_A,Total Public Construction (Annual),Public Construction,USD,Annual,,,,
PUBLIC_TOTAL_COEFF_M,"Total Public Construction: Coefficienct of Variation, Monthly Estimate",Public Construction,Percent,Monthly,,,,
PUBLIC_TOTAL_COEFF_YTD,"Total Public Construction: Coefficient of Variation, Year-to-date estimate",Public Construction,Percent,Monthly,,,,
PUBLIC_TOTAL_NSA,Total Public Construction (Not Seasonally Adjusted),Public Construction,USD,Monthly,,,,false
PUBLIC_TOTAL_SA,Total Public Construction (Seasonally Adjusted),Public Construction,USD,Monthly,,,,true
PUBLIC_TOTAL_STD_ERR_MM,"Total Public Construction: Standard Error, Month-to-month change",Public Construction,Percent,Monthly,,,,
PUBLIC_TOTAL_STD_ERR_MM_PY,"Total Public Construction: Standard Error, Month-to-month change from previous year",Public Construction,Percent,Monthly,,,,
PUBLIC_TOTAL_STD_ERR_YTD,"Total Public Construction: Standard Error, Year-to-date change",Public Construction,Percent,Monthly,,,,
TOTAL_BLDGS_A,Total buildings: Estimates With Imputation (Annual),Building Permits in Permit-Issuing Places,Count,Annual,Estimates With Imputation,,,
TOTAL_BLDGS_M,"Total buildings: Estimates With Imputation (Monthly, Current Month)",Building Permits in Permit-Issuing Places,Count,Monthly,Estimates With Imputation,Current Month,,
TOTAL_BLDGS_M_YTD,"Total buildings: Estimates With Imputation (Monthly, Year-to-Date)",Building Permits in Permit-Issuing Places,Count,Monthly,Estimates With Imputation,Year-to-Date,,
TOTAL_BLDGS_REP_A,Total buildings: Reported Only Data (Annual),Building Permits in Permit-Issuing Places,Count,Annual,Reported Only Data,,,
TOTAL_BLDGS_REP_M,"Total buildings: Reported Only Data (Monthly, Current Month)",Building Permits in Permit-Issuing Places,Count,Monthly,Reported Only Data,Current Month,,
TOTAL_BLDGS_REP_M_YTD,"Total buildings: Reported Only Data (Monthly, Year-to-Date)",Building Permits in Permit-Issuing Places,Count,Monthly,Reported Only Data,Year-to-Date,,
TOTAL_UNITS_A,Total Units: Estimates With Imputation (Annual),New Privately Owned Housing Units Authorized by Building Permits in Permit-Issuing Places,Count,Annual,Estimates With Imputation,,,
TOTAL_UNITS_M,"Total Units: Estimates With Imputation (Monthly, Current Month)",New Privately Owned Housing Units Authorized by Building Permits in Permit-Issuing Places,Count,Monthly,Estimates With Imputation,Current Month,,
TOTAL_UNITS_M_YTD,"Total Units: Estimates With Imputation (Monthly, Year-to-Date)",New Privately Owned Housing Units Authorized by Building Permits in Permit-Issuing Places,Count,Monthly,Estimates With Imputation,Year-to-Date,,
TOTAL_UNITS_REP_A,Total Units Reported: Reported Only Data (Annual),New Privately Owned Housing Units Authorized by Building Permits in Permit-Issuing Places,Count,Annual,Reported Only Data,,,
TOTAL_UNITS_REP_M,"Total Units Reported: Reported Only Data (Monthly, Current Month)",New Privately Owned Housing Units Authorized by Building Permits in Permit-Issuing Places,Count,Monthly,Reported Only Data,Current Month,,
TOTAL_UNITS_REP_M_YTD,"Total Units Reported: Reported Only Data (Monthly, Year-to-Date)",New Privately Owned Housing Units Authorized by Building Permits in Permit-Issuing Places,Count,Monthly,Reported Only Data,Year-to-Date,,
TOTAL_VALUE_A,Total Value: Estimates With Imputation (Annual),Valuation of New Privately Owned Housing Units Authorized by Building Permits in Permit-Issuing Places,USD,Annual,Estimates With Imputation,,,
TOTAL_VALUE_M,"Total Value: Estimates With Imputation (Monthly, Current Month)",Valuation of New Privately Owned Housing Units Authorized by Building Permits in Permit-Issuing Places,USD,Monthly,Estimates With Imputation,Current Month,,
TOTAL_VALUE_M_YTD,"Total Value: Estimates With Imputation (Monthly, Year-to-Date)",Valuation of New Privately Owned Housing Units Authorized by Building Permits in Permit-Issuing Places,USD,Monthly,Estimates With Imputation,Year-to-Date,,
TOTAL_VALUE_REP_A,Total Value Reported: Reported Only Data (Annual),Valuation of New Privately Owned Housing Units Authorized by Building Permits in Permit-Issuing Places,USD,Annual,Reported Only Data,,,
TOTAL_VALUE_REP_M,"Total Value Reported: Reported Only Data (Monthly, Current Month)",Valuation of New Privately Owned Housing Units Authorized by Building Permits in Permit-Issuing Places,USD,Monthly,Reported Only Data,Current Month,,
TOTAL_VALUE_REP_M_YTD,"Total Value Reported: Reported Only Data (Monthly, Year-to-Date)",Valuation of New Privately Owned Housing Units Authorized by Building Permits in Permit-Issuing Places,USD,Monthly,Reported Only Data,Year-to-Date,,
UNITS_1_UNIT_A,Single Family Houses units: Estimates With Imputation (Annual),New Privately Owned Housing Units Authorized by Building Permits in Permit-Issuing Places,Count,Annual,Estimates With Imputation,,Single Family Houses,
UNITS_1_UNIT_M,"Single Family Houses units: Estimates With Imputation (Monthly, Current Month)",New Privately Owned Housing Units Authorized by Building Permits in Permit-Issuing Places,Count,Monthly,Estimates With Imputation,Current Month,Single Family Houses,
UNITS_1_UNIT_M_YTD,"Single Family Houses units: Estimates With Imputation (Monthly, Year-to-Date)",New Privately Owned Housing Units Authorized by Building Permits in Permit-Issuing Places,Count,Monthly,Estimates With Imputation,Year-to-Date,Single Family Houses,
UNITS_1_UNIT_REP_A,Single Family Houses units reported: Reported Only Data (Annual),New Privately Owned Housing Units Authorized by Building Permits in Permit-Issuing Places,Count,Annual,Reported Only Data,,Single Family Houses,
UNITS_1_UNIT_REP_M,"Single Family Houses units reported: Reported Only Data (Monthly, Current Month)",New Privately Owned Housing Units Authorized by Building Permits in Permit-Issuing Places,Count,Monthly,Reported Only Data,Current Month,Single Family Houses,
UNITS_1_UNIT_REP_M_YTD,"Single Family Houses units reported: Reported Only Data (Monthly, Year-to-Date)",New Privately Owned Housing Units Authorized by Building Permits in Permit-Issuing Places,Count,Monthly,Reported Only Data,Year-to-Date,Single Family Houses,
UNITS_2_UNITS_A,Two-Family Buildings units: Estimates With Imputation (Annual),New Privately Owned Housing Units Authorized by Building Permits in Permit-Issuing Places,Count,Annual,Estimates With Imputation,,Two-Family Buildings,
UNITS_2_UNITS_M,"Two-Family Buildings units: Estimates With Imputation (Monthly, Current Month)",New Privately Owned Housing Units Authorized by Building Permits in Permit-Issuing Places,Count,Monthly,Estimates With Imputation,Current Month,Two-Family Buildings,
UNITS_2_UNITS_M_YTD,"Two-Family Buildings units: Estimates With Imputation (Monthly, Year-to-Date)",New Privately Owned Housing Units Authorized by Building Permits in Permit-Issuing Places,Count,Monthly,Estimates With Imputation,Year-to-Date,Two-Family Buildings,
UNITS_2_UNITS_REP_A,Two-Family Buildings units reported: Reported Only Data (Annual),New Privately Owned Housing Units Authorized by Building Permits in Permit-Issuing Places,Count,Annual,Reported Only Data,,Two-Family Buildings,
UNITS_2_UNITS_REP_M,"Two-Family Buildings units reported: Reported Only Data (Monthly, Current Month)",New Privately Owned Housing Units Authorized by Building Permits in Permit-Issuing Places,Count,Monthly,Reported Only Data,Current Month,Two-Family Buildings,
UNITS_2_UNITS_REP_M_YTD,"Two-Family Buildings units reported: Reported Only Data (Monthly, Year-to-Date)",New Privately Owned Housing Units Authorized by Building Permits in Permit-Issuing Places,Count,Monthly,Reported Only Data,Year-to-Date,Two-Family Buildings,
UNITS_3_4_UNITS_A,Three- and Four-Family Buildings units: Estimates With Imputation (Annual),New Privately Owned Housing Units Authorized by Building Permits in Permit-Issuing Places,Count,Annual,Estimates With Imputation,,Three- and Four-Family Buildings,
UNITS_3_4_UNITS_M,"Three- and Four-Family Buildings units: Estimates With Imputation (Monthly, Current Month)",New Privately Owned Housing Units Authorized by Building Permits in Permit-Issuing Places,Count,Monthly,Estimates With Imputation,Current Month,Three- and Four-Family Buildings,
UNITS_3_4_UNITS_M_YTD,"Three- and Four-Family Buildings units: Estimates With Imputation (Monthly, Year-to-Date)",New Privately Owned Housing Units Authorized by Building Permits in Permit-Issuing Places,Count,Monthly,Estimates With Imputation,Year-to-Date,Three- and Four-Family Buildings,
UNITS_3_4_UNITS_REP_A,Three- and Four-Family Buildings units reported: Reported Only Data (Annual),New Privately Owned Housing Units Authorized by Building Permits in Permit-Issuing Places,Count,Annual,Reported Only Data,,Three- and Four-Family Buildings,
UNITS_3_4_UNITS_REP_M,"Three- and Four-Family Buildings units reported: Reported Only Data (Monthly, Current Month)",New Privately Owned Housing Units Authorized by Building Permits in Permit-Issuing Places,Count,Monthly,Reported Only Data,Current Month,Three- and Four-Family Buildings,
UNITS_3_4_UNITS_REP_M_YTD,"Three- and Four-Family Buildings units reported: Reported Only Data (Monthly, Year-to-Date)",New Privately Owned Housing Units Authorized by Building Permits in Permit-Issuing Places,Count,Monthly,Reported Only Data,Year-to-Date,Three- and Four-Family Buildings,
UNITS_5_UNITS_A,Five-or-More Family Buildings units: Estimates With Imputation (Annual),New Privately Owned Housing Units Authorized by Building Permits in Permit-Issuing Places,Count,Annual,Estimates With Imputation,,Five-or-More Family Buildings,
UNITS_5_UNITS_M,"Five-or-More Family Buildings units: Estimates With Imputation (Monthly, Current Month)",New Privately Owned Housing Units Authorized by Building Permits in Permit-Issuing Places,Count,Monthly,Estimates With Imputation,Current Month,Five-or-More Family Buildings,
UNITS_5_UNITS_M_YTD,"Five-or-More Family Buildings units: Estimates With Imputation (Monthly, Year-to-Date)",New Privately Owned Housing Units Authorized by Building Permits in Permit-Issuing Places,Count,Monthly,Estimates With Imputation,Year-to-Date,Five-or-More Family Buildings,
UNITS_5_UNITS_REP_A,Five-or-More Family Buildings units reported: Reported Only Data (Annual),New Privately Owned Housing Units Authorized by Building Permits in Permit-Issuing Places,Count,Annual,Reported Only Data,,Five-or-More Family Buildings,
UNITS_5_UNITS_REP_M,"Five-or-More Family Buildings units reported: Reported Only Data (Monthly, Current Month)",New Privately Owned Housing Units Authorized by Building Permits in Permit-Issuing Places,Count,Monthly,Reported Only Data,Current Month,Five-or-More Family Buildings,
UNITS_5_UNITS_REP_M_YTD,"Five-or-More Family Buildings units reported: Reported Only Data (Monthly, Year-to-Date)",New Privately Owned Housing Units Authorized by Building Permits in Permit-Issuing Places,Count,Monthly,Reported Only Data,Year-to-Date,Five-or-More Family Buildings,
VALUE_1_UNIT_A,Single Family Houses valuation: Estimates With Imputation (Annual),Valuation of New Privately Owned Housing Units Authorized by Building Permits in Permit-Issuing Places,USD,Annual,Estimates With Imputation,,Single Family Houses,
VALUE_1_UNIT_M,"Single Family Houses valuation: Estimates With Imputation (Monthly, Current Month)",Valuation of New Privately Owned Housing Units Authorized by Building Permits in Permit-Issuing Places,USD,Monthly,Estimates With Imputation,Current Month,Single Family Houses,
VALUE_1_UNIT_M_YTD,"Single Family Houses valuation: Estimates With Imputation (Monthly, Year-to-Date)",Valuation of New Privately Owned Housing Units Authorized by Building Permits in Permit-Issuing Places,USD,Monthly,Estimates With Imputation,Year-to-Date,Single Family Houses,
VALUE_1_UNIT_REP_A,Single Family Houses valuation reported: Reported Only Data (Annual),Valuation of New Privately Owned Housing Units Authorized by Building Permits in Permit-Issuing Places,USD,Annual,Reported Only Data,,Single Family Houses,
VALUE_1_UNIT_REP_M,"Single Family Houses valuation reported: Reported Only Data (Monthly, Current Month)",Valuation of New Privately Owned Housing Units Authorized by Building Permits in Permit-Issuing Places,USD,Monthly,Reported Only Data,Current Month,Single Family Houses,
VALUE_1_UNIT_REP_M_YTD,"Single Family Houses valuation reported: Reported Only Data (Monthly, Year-to-Date)",Valuation of New Privately Owned Housing Units Authorized by Building Permits in Permit-Issuing Places,USD,Monthly,Reported Only Data,Year-to-Date,Single Family Houses,
VALUE_2_UNITS_A,Two-Family Buildings valuation: Estimates With Imputation (Annual),Valuation of New Privately Owned Housing Units Authorized by Building Permits in Permit-Issuing Places,USD,Annual,Estimates With Imputation,,Two-Family Buildings,
VALUE_2_UNITS_M,"Two-Family Buildings valuation: Estimates With Imputation (Monthly, Current Month)",Valuation of New Privately Owned Housing Units Authorized by Building Permits in Permit-Issuing Places,USD,Monthly,Estimates With Imputation,Current Month,Two-Family Buildings,
VALUE_2_UNITS_M_YTD,"Two-Family Buildings valuation: Estimates With Imputation (Monthly, Year-to-Date)",Valuation of New Privately Owned Housing Units Authorized by Building Permits in Permit-Issuing Places,USD,Monthly,Estimates With Imputation,Year-to-Date,Two-Family Buildings,
VALUE_2_UNITS_REP_A,Two-Family Buildings valuation reported: Reported Only Data (Annual),Valuation of New Privately Owned Housing Units Authorized by Building Permits in Permit-Issuing Places,USD,Annual,Reported Only Data,,Two-Family Buildings,
VALUE_2_UNITS_REP_M,"Two-Family Buildings valuation reported: Reported Only Data (Monthly, Current Month)",Valuation of New Privately Owned Housing Units Authorized by Building Permits in Permit-Issuing Places,USD,Monthly,Reported Only Data,Current Month,Two-Family Buildings,
VALUE_2_UNITS_REP_M_YTD,"Two-Family Buildings valuation reported: Reported Only Data (Monthly, Year-to-Date)",Valuation of New Privately Owned Housing Units Authorized by Building Permits in Permit-Issuing Places,USD,Monthly,Reported Only Data,Year-to-Date,Two-Family Buildings,
VALUE_3_4_UNITS_A,Three- and Four-Family Buildings valuation: Estimates With Imputation (Annual),Valuation of New Privately Owned Housing Units Authorized by Building Permits in Permit-Issuing Places,USD,Annual,Estimates With Imputation,,Three- and Four-Family Buildings,
VALUE_3_4_UNITS_M,"Three- and Four-Family Buildings valuation: Estimates With Imputation (Monthly, Current Month)",Valuation of New Privately Owned Housing Units Authorized by Building Permits in Permit-Issuing Places,USD,Monthly,Estimates With Imputation,Current Month,Three- and Four-Family Buildings,
