VARIABLE,VARIABLE_NAME,MEASURE,UNIT,FREQUENCY,MEASUREMENT_TYPE,MEASUREMENT_PERIOD,BUILDING_USE,SEASONALLY_ADJUSTED
ALL_NONRES_LODGING_SA,Nonresidential Construction: Lodging (Seasonally Adjusted),Nonresidential Construction,USD,Monthly,,,Lodging,true
ALL_NONRES_LODGING_STD_ERR_MM,"Nonresidential Construction: Lodging: Standard Error, Month-to-month change",Nonresidential Construction,Percent,Monthly,,,Lodging,
ALL_NONRES_LODGING_STD_ERR_MM_PY,"Nonresidential Construction: Lodging: Standard Error, Month-to-month change from previous year",Nonresidential Construction,Percent,Monthly,,,Lodging,
ALL_NONRES_LODGING_STD_ERR_YTD,"Nonresidential Construction: Lodging: Standard Error, Year-to-date change",Nonresidential Construction,Percent,Monthly,,,Lodging,
ALL_NONRES_MANUFACTURING_A,Nonresidential Construction: Manufacturing (Annual),Nonresidential Construction,USD,Annual,,,Manufacturing,
ALL_NONRES_MANUFACTURING_COEFF_M,"Nonresidential Construction: Manufacturing: Coefficienct of Variation, Monthly Estimate",Nonresidential Construction,Percent,Monthly,,,Manufacturing,
ALL_NONRES_MANUFACTURING_COEFF_YTD,"Nonresidential Construction: Manufacturing: Coefficient of Variation, Year-to-date estimate",Nonresidential Construction,Percent,Monthly,,,Manufacturing,
ALL_NONRES_MANUFACTURING_NSA,Nonresidential Construction: Manufacturing (Not Seasonally Adjusted),Nonresidential Construction,USD,Monthly,,,Manufacturing,false
ALL_NONRES_MANUFACTURING_SA,Nonresidential Construction: Manufacturing (Seasonally Adjusted),Nonresidential Construction,USD,Monthly,,,Manufacturing,true
ALL_NONRES_MANUFACTURING_STD_ERR_MM,"Nonresidential Construction: Manufacturing: Standard Error, Month-to-month change",Nonresidential Construction,Percent,Monthly,,,Manufacturing,
ALL_NONRES_MANUFACTURING_STD_ERR_MM_PY,"Nonresidential Construction: Manufacturing: Standard Error, Month-to-month change from previous year",Nonresidential Construction,Percent,Monthly,,,Manufacturing,
ALL_NONRES_MANUFACTURING_STD_ERR_YTD,"Nonresidential Construction: Manufacturing: Standard Error, Year-to-date change",Nonresidential Construction,Percent,Monthly,,,Manufacturing,
ALL_NONRES_NSA,Total Nonresidential Construction (Not Seasonally Adjusted),Nonresidential Construction,USD,Monthly,,,,false
ALL_NONRES_OFFICE_A,Nonresidential Construction: Office (Annual),Nonresidential Construction,USD,Annual,,,Office,
ALL_NONRES_OFFICE_COEFF_M,"Nonresidential Construction: Office: Coefficienct of Variation, Monthly Estimate",Nonresidential Construction,Percent,Monthly,,,Office,
ALL_NONRES_OFFICE_COEFF_YTD,"Nonresidential Construction: Office: Coefficient of Variation, Year-to-date estimate",Nonresidential Construction,Percent,Monthly,,,Office,
ALL_NONRES_OFFICE_NSA,Nonresidential Construction: Office (Not Seasonally Adjusted),Nonresidential Construction,USD,Monthly,,,Office,false
ALL_NONRES_OFFICE_SA,Nonresidential Construction: Office (Seasonally Adjusted),Nonresidential Construction,USD,Monthly,,,Office,true
ALL_NONRES_OFFICE_STD_ERR_MM,"Nonresidential Construction: Office: Standard Error, Month-to-month change",Nonresidential Construction,Percent,Monthly,,,Office,
ALL_NONRES_OFFICE_STD_ERR_MM_PY,"Nonresidential Construction: Office: Standard Error, Month-to-month change from previous year",Nonresidential Construction,Percent,Monthly,,,Office,
ALL_NONRES_OFFICE_STD_ERR_YTD,"Nonresidential Construction: Office: Standard Error, Year-to-date change",Nonresidential Construction,Percent,Monthly,,,Office,
ALL_NONRES_POWER_A,Nonresidential Construction: Power (Annual),Nonresidential Construction,USD,Annual,,,Power,
ALL_NONRES_POWER_COEFF_M,"Nonresidential Construction: Power: Coefficienct of Variation, Monthly Estimate",Nonresidential Construction,Percent,Monthly,,,Power,
ALL_NONRES_POWER_COEFF_YTD,"Nonresidential Construction: Power: Coefficient of Variation, Year-to-date estimate",Nonresidential Construction,Percent,Monthly,,,Power,
ALL_NONRES_POWER_NSA,Nonresidential Construction: Power (Not Seasonally Adjusted),Nonresidential Construction,USD,Monthly,,,Power,false
ALL_NONRES_POWER_SA,Nonresidential Construction: Power (Seasonally Adjusted),Nonresidential Construction,USD,Monthly,,,Power,true
ALL_NONRES_POWER_STD_ERR_MM,"Nonresidential Construction: Power: Standard Error, Month-to-month change",Nonresidential Construction,Percent,Monthly,,,Power,
ALL_NONRES_POWER_STD_ERR_MM_PY,"Nonresidential Construction: Power: Standard Error, Month-to-month change from previous year",Nonresidential Construction,Percent,Monthly,,,Power,
ALL_NONRES_POWER_STD_ERR_YTD,"Nonresidential Construction: Power: Standard Error, Year-to-date change",Nonresidential Construction,Percent,Monthly,,,Power,
ALL_NONRES_PUBLIC_A,Nonresidential Construction: Public Safety (Annual),Nonresidential Construction,USD,Annual,,,Public safety,
